date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-03-06,1163,1176,1155.5,1151.98,30641,-15.5,-1.32,1130.886,1103.451,1099.024,48954.73,44981.54,38826.23,0.24
2020-03-05,1136.31,1174.99,1171,1130.56,62426.45,42.08,3.73,1111.186,1099.189,1095.049,52815.84,44811.45,38858.11,0.5
2020-03-04,1125,1139,1128.92,1116.24,53792.99,15.92,1.43,1094.464,1093.889,1090.049,47230.21,43249.07,38095.35,0.43
2020-03-03,1098,1118.88,1113,1098,50250.15,26.99,2.48,1083.42,1090.647,1086.102,45183.8,41574.92,37776.61,0.4
2020-03-02,1050.11,1096.55,1086.01,1050.01,47663.04,29.01,2.75,1075.782,1087.747,1082.353,42810.9,39216.4,38395.31,0.38
2020-02-28,1070.3,1082,1057,1049.97,49946.57,-30.39,-2.79,1076.016,1088.528,1078.248,41008.36,37152.92,42184.31,0.4
2020-02-27,1076,1094.99,1087.39,1076,34498.29,13.69,1.27,1087.192,1091.628,1078.038,36807.06,34487.02,42360.4,0.27
2020-02-26,1062,1084,1073.7,1055,43560.97,-1.11,-0.1,1093.314,1091.989,1077.444,39267.93,34072.93,42445.49,0.35
2020-02-25,1078,1082.09,1074.81,1067.88,38385.62,-12.37,-1.14,1097.874,1094.346,1077.524,37966.03,32529.37,41911.14,0.31
2020-02-24,1105.5,1110,1087.18,1085.5,38650.36,-25.7,-2.31,1099.712,1096.665,1078.334,35621.9,33482.6,41761.42,0.31
2020-02-21,1111.46,1123.54,1112.88,1110.01,28940.08,-5.12,-0.46,1101.04,1094.596,1079.35,33297.47,32670.91,41002.54,0.23
2020-02-20,1096.7,1124,1118,1095.41,46802.62,21.5,1.96,1096.064,1090.908,1079.056,32166.97,32904.77,40715.12,0.37
2020-02-19,1085,1101.5,1096.5,1078,37051.47,12.5,1.15,1090.664,1086.208,1078.762,28877.92,32941.63,39676.45,0.29
2020-02-18,1090.01,1096.88,1084,1083,26664.96,-9.82,-0.9,1090.818,1081.557,1079.307,27092.71,33978.31,39581.11,0.21
2020-02-17,1082.5,1096.19,1093.82,1082.4,27028.22,5.82,0.54,1093.618,1076.958,1081.321,31343.31,37574.23,40173.65,0.22
2020-02-14,1090.45,1093.51,1088,1083.11,23287.6,-3,-0.28,1088.152,1067.968,1082.255,32044.35,47215.7,40621.03,0.19
2020-02-13,1098,1113.89,1091,1088.01,30357.36,-6.27,-0.57,1085.752,1064.448,1082.99,33642.57,50233.78,41326.94,0.24
2020-02-12,1089,1098.79,1097.27,1085.88,28125.43,-0.73,-0.07,1081.752,1062.899,1082.847,37005.34,50818.05,41059.49,0.22
2020-02-11,1063,1099.68,1098,1062.8,47917.93,31.51,2.96,1072.296,1060.702,1082.71,40863.9,51292.91,42045.89,0.38
2020-02-10,1062,1074.6,1066.49,1057.2,30533.42,-9.51,-0.88,1060.298,1060.002,1081.709,43805.15,50040.25,42820.74,0.24
2020-02-07,1070.01,1077,1076,1061.02,31278.71,5,0.47,1047.784,1064.103,1082.313,62387.04,49334.18,47810,0.25
2020-02-06,1059.43,1075,1071,1052.02,47171.21,21.01,2,1043.144,1067.203,1085.013,66824.99,48525.47,53651.03,0.38
2020-02-05,1050,1054,1049.99,1033.03,47418.24,11.98,1.15,1044.046,1071.316,1090.613,64630.75,46411.26,52421.91,0.38
2020-02-04,1015,1057,1038.01,1011.01,62624.18,34.09,3.4,1049.108,1077.057,1097.403,61721.92,45183.9,52089.03,0.5
2020-02-03,985,1010.68,1003.92,980,123442.88,-48.88,-4.64,1059.706,1085.683,1103.653,56275.34,42773.06,51311.13,0.98
2020-01-23,1076,1076,1052.8,1037,53468.43,-22.71,-2.11,1080.422,1096.541,1110.212,36281.31,34026.36,46282.85,0.43
2020-01-22,1070,1084,1075.51,1055.38,36200.04,0.21,0.02,1091.262,1101.531,1114.257,30225.96,32420.1,44824.73,0.29
2020-01-21,1081,1087,1075.3,1072.3,32874.05,-15.7,-1.44,1098.586,1102.794,1117.881,28191.77,31300.93,43605.88,0.26
2020-01-20,1111.86,1111.86,1091,1082,35391.3,-16.5,-1.49,1105.006,1104.717,1121.581,28645.89,32798.88,43258.14,0.28
2020-01-17,1110,1112.78,1107.5,1101.01,23472.75,0.5,0.04,1111.66,1103.416,1124.346,29270.78,35601.23,42666.77,0.19
2020-01-16,1118.87,1118.87,1107,1102.58,23191.65,-5.13,-0.46,1112.66,1100.522,1126.841,31771.41,46285.83,42470.74,0.18
2020-01-15,1109.01,1121.6,1112.13,1105,26029.11,4.73,0.43,1111.8,1102.822,1129.891,34614.25,58776.58,42293.17,0.21
2020-01-14,1124.2,1124.89,1107.4,1103,35144.65,-16.87,-1.5,1107.002,1109.909,1132.784,34410.08,58432.55,43122.56,0.28
2020-01-13,1112.5,1129.2,1124.27,1112,38515.75,11.77,1.06,1104.428,1117.749,1134.81,36951.87,58994.15,42912.15,0.31
2020-01-10,1109,1115.99,1112.5,1102.5,35975.87,9.8,0.89,1095.172,1121.622,1136.746,41931.67,59849.21,42486.39,0.29
2020-01-09,1094,1105.39,1102.7,1090,37405.87,14.56,1.34,1088.384,1123.882,1137.971,60800.25,58539.35,42158.05,0.3
2020-01-08,1085.05,1095.5,1088.14,1082.58,25008.25,-6.39,-0.58,1093.844,1126.982,1140.785,82938.91,57229.36,41016.16,0.2
2020-01-07,1077.5,1099,1094.53,1076.4,47853.59,16.54,1.53,1112.816,1132.968,1144.598,82455.02,55910.84,40520.08,0.38
2020-01-06,1070.86,1092.9,1077.99,1067.3,63414.78,-0.57,-0.05,1131.07,1138.445,1147.807,81036.44,53717.4,39218.6,0.5
2020-01-03,1117,1117,1078.56,1076.9,130318.78,-51.44,-4.55,1148.072,1145.276,1152.407,77766.74,49732.31,38023.18,1.04
2020-01-02,1128,1145.06,1130,1116,148099.16,-53,-4.48,1159.38,1153.16,1154.969,56278.44,38655.66,32574.18,1.18
